ied,motion,ac_y
-14272850.0,8.578581171982705,-436968.6680825771
-14272587.0,4.451753844427458,-433224.48140175134
-14272668.0,1.8324929301747943,-429563.23658773385
-14275107.0,7.559801624685406,-425903.27088852256
-14276000.0,6.064185258067482,-422193.8215129713
-14276439.0,32.36629978709789,-418647.3832978416
-14277292.0,11.403032051205855,-415112.4094648632
-14277848.0,0.6839274836506775,-411616.7020368806
-14278062.0,4.277525143978664,-408184.70168317785
-14277533.0,9.575348106206093,-404729.93799968
-14278302.0,12.613124633930056,-401309.6386196832
-14280282.0,4.098533692452975,-397902.3755668203
-14279526.0,19.761473279105758,-394492.8518111521
-14280946.0,7.097406996179643,-391178.58995970665
-14281305.0,8.29617884775962,-387908.0540601096
-14281932.0,3.1814163098108565,-384718.80685284245
-14282289.0,0.24246327455648498,-381576.2021176461
-14280627.0,3.244200448696347,-378276.94009646965
-14281858.0,14.066911379519297,-374982.33736217284
-14280558.0,16.81816548973984,-371684.0973218832
-14280924.0,26.157309095703567,-368269.92301533226
-14278853.0,22.033991028957416,-364845.057118511
-14279376.0,19.954993786707746,-361422.43988065986
-14278043.0,22.074558181024486,-357917.7154818533
-14277617.0,20.791820184613016,-354384.4549937008
-14277274.0,14.672912022390165,-350717.0271104317
-14276280.0,17.39645568545825,-346987.7735059934
-14274832.0,21.524970595048444,-343211.8957709335
-14276101.0,23.243590284695074,-339361.02681322413
-14275272.0,18.991417977413903,-335533.74987842585
-14276331.0,12.857440715602252,-331698.6623796416
-14276174.0,14.85099723985013,-327901.9257558452
-14274800.0,34.98497206663751,-324220.98983161885
-14276711.0,29.98499044142568,-320607.6965999706
-14277352.0,14.932278212827441,-317049.36963397084
-14277380.0,9.48318465315424,-313656.79260429717
-14276741.0,0.9908247464827582,-310344.2246782542
-14277239.0,4.842327167765006,-307173.7824314717
-14278577.0,35.14343060148644,-304079.961273823
-14278451.0,34.79199629547156,-301047.9949944187
-14280381.0,34.44407633251694,-298218.43171114055
-14280739.0,34.09963556919183,-295442.5807273631
-14280321.0,33.75863921349992,-292839.8215867555
-14281050.0,33.42105282136504,-290268.09003755584
-14282428.0,2.2627902371473283,-287751.9091371803
-14283396.0,6.01625851835297,-285280.7233791406
-14283819.0,12.863121241803356,-282935.99947868317
-14282419.0,16.17745846413527,-280583.05615056236
-14283725.0,18.713526811263137,-278331.8089223907
-14283740.0,18.13202528552074,-276088.99083316675
-14284268.0,5.288068265393122,-273860.434258169
-14286005.0,10.898747088058826,-271651.8299155873
-14286537.0,5.88364611770271,-269420.06161643146
-14285825.0,8.132302203867994,-267329.86100026715
-14285820.0,0.4783200542774466,-265115.2290569305
-14287501.0,12.099089663676295,-262932.74343302724
-14286821.0,9.06416778291873,-260786.58266536487
-14288084.0,14.632275762284735,-258659.63350537728
-14287581.0,11.132260729387554,-256495.7871703235
-14288683.0,2.992164458305524,-254360.24596528633
-14288973.0,13.552679967890299,-252207.31017230137
-14290507.0,8.238161802862805,-250098.4037372444
-14290317.0,12.055578610029443,-248033.5030332059
-14291807.0,2.3798030752836894,-246101.25133620593
-14292818.0,9.885561829024937,-244160.15548951176
-14292818.0,22.785703880709207,-242217.05393461665
-14293827.0,9.993831384531177,-240377.63339527047
-14294709.0,9.835604455528255,-238541.60706131777
-14295334.0,17.286968119206676,-236763.6909907046
-14295352.0,9.633287547458622,-235053.38741412965
-14297439.0,5.068830506522318,-233355.60353998837
-14297792.0,5.018142201457067,-231669.63083792245
-14297361.0,4.967960779442365,-230126.01786287717
-14298104.0,4.918281171647777,-228554.42435091443
-14299874.0,4.869098359931286,-227003.79677407132
-14299177.0,4.8204073763317865,-225382.67547299853
-14300031.0,7.3385261269474995,-223851.34871826853
-14301057.0,8.293587307937514,-222285.08523108586
-14301817.0,12.777213234464625,-220663.3177121071
-14302422.0,6.970354016243618,-219143.26786831996
-14302267.0,6.065359817861463,-217617.66852297072
-14303303.0,19.189823942230305,-216071.3251710731
-14303001.0,14.016946489231486,-214501.2785860303
-14304620.0,19.893762106183885,-212993.68246683604
-14304977.0,10.516063037855247,-211358.9123088337
-14306083.0,12.549130383746615,-209843.73985241327
-14305810.0,29.073448042308428,-208344.05245388913
-14306403.0,17.157951037345583,-206902.7785960163
-14306100.0,25.81906787134062,-205409.2508100561
-14307864.0,34.23362987853125,-203873.9916352895
-14308669.0,21.260143933714517,-202366.2517189366
-14308160.0,9.314475244264486,-200909.83920174724
-14310122.0,15.48834575068554,-199429.32414306185
-14310153.0,9.375101866094383,-197968.53090163122
